Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Namibia,Meat,Online,H,11/01/2015,157590997,11/29/2015,3533,421.89,364.69,1490537.37,1288449.77,202087.6
Sub-Saharan Africa,Malawi,Meat,Online,M,3/17/2011,311351954,4/13/2011,4817,421.89,364.69,2032244.13,1756711.73,275532.4
Sub-Saharan Africa,Kenya,Baby Food,Online,L,02/07/2012,985823667,03/02/2012,5985,255.28,159.42,1527850.8,954128.7,573722.1
Asia,Tajikistan,Household,Online,M,11/16/2010,856054961,12/01/2010,4541,668.27,502.54,3034614.07,2282034.14,752579.93
Asia,Maldives,Personal Care,Offline,M,02/04/2016,917407166,2/13/2016,22,81.73,56.67,1798.06,1246.74,551.32
Europe,Andorra,Fruits,Online,H,11/19/2010,435554111,11/23/2010,8995,9.33,6.92,83923.35,62245.4,21677.95
Middle East and North Africa,United Arab Emirates,Household,Offline,C,4/21/2017,996482121,05/02/2017,59,668.27,502.54,39427.93,29649.86,9778.07
Australia and Oceania,Federated States of Micronesia,Fruits,Online,C,10/28/2016,656490027,11/25/2016,8843,9.33,6.92,82505.19,61193.56,21311.63
Middle East and North Africa,Afghanistan,Snacks,Offline,H,09/12/2014,692189157,9/29/2014,3008,152.58,97.44,458960.64,293099.52,165861.12
Asia,South Korea,Personal Care,Online,L,6/17/2013,650503337,7/17/2013,7248,81.73,56.67,592379.04,410744.16,181634.88
Sub-Saharan Africa,Guinea-Bissau,Cosmetics,Online,H,9/16/2016,598668897,10/15/2016,8285,437.2,263.33,3622202,2181689.05,1440512.95
Sub-Saharan Africa,Kenya,Household,Online,M,03/04/2010,674234664,3/21/2010,9875,668.27,502.54,6599166.25,4962582.5,1636583.75
Europe,Norway,Personal Care,Online,L,12/09/2010,635061967,12/19/2010,7803,81.73,56.67,637739.19,442196.01,195543.18
North America,Mexico,Snacks,Online,L,8/28/2010,309324634,09/07/2010,4888,152.58,97.44,745811.04,476286.72,269524.32
Sub-Saharan Africa,Democratic Republic of the Congo,Clothes,Offline,L,03/07/2017,945508992,04/12/2017,5977,109.28,35.84,653166.56,214215.68,438950.88
